old_path,new_path
research/CORE-VALIDATION-001-KNOWLEDGE-SUBSUMPTION.md,research/validations/core-001-knowledge-subsumption/README.md
research/core-validation-001-protocol.json,research/validations/core-001-knowledge-subsumption/protocol.json
research/CORE-VALIDATION-001B-RESIDUAL-MEMORIZATION.md,research/validations/core-001b-residual-memorization/README.md
research/core-validation-001b-protocol.json,research/validations/core-001b-residual-memorization/protocol.json
research/CORE-VALIDATION-002-WRITE-ADDRESSABILITY.md,research/validations/core-002-write-addressability/README.md
research/core-validation-002-protocol.json,research/validations/core-002-write-addressability/protocol.json
research/CORE-VALIDATION-002B-SPARSE-WRITE-ASSEMBLY.md,research/validations/core-002b-sparse-write-assembly/README.md
research/core-validation-002b-protocol.json,research/validations/core-002b-sparse-write-assembly/protocol.json
research/CORE-VALIDATION-002C-ORACLE-TOMOGRAPHY.md,research/validations/core-002c-oracle-tomography/README.md
research/core-validation-002c-protocol.json,research/validations/core-002c-oracle-tomography/protocol.json
research/CORE-VALIDATION-003-DEPENDENCY-SCOPED-TRANSACTIONAL-LEARNING.md,research/validations/core-003-dependency-scoped-transactional-learning/README.md
research/core-validation-003-protocol.json,research/validations/core-003-dependency-scoped-transactional-learning/protocol.json
research/CORE-VALIDATION-004-GROWTH-RESTORED-PLASTICITY.md,research/validations/core-004-growth-restored-plasticity/README.md
research/core-validation-004-protocol.json,research/validations/core-004-growth-restored-plasticity/protocol.json
research/EXPERIMENT_018B.md,research/stages/02-self-organization/sources/EXPERIMENT_018B.md
research/EXPERIMENT_019.md,research/stages/02-self-organization/sources/EXPERIMENT_019.md
research/EXPERIMENT_019B_RECRUITMENT_RESPONSE_CURVES.md,research/stages/02-self-organization/sources/EXPERIMENT_019B_RECRUITMENT_RESPONSE_CURVES.md
research/EXPERIMENT_019_NUMERICAL_RECOVERY.md,research/stages/02-self-organization/sources/EXPERIMENT_019_NUMERICAL_RECOVERY.md
research/EXPERIMENT_019_ORACLE_NUMERICS.md,research/stages/02-self-organization/sources/EXPERIMENT_019_ORACLE_NUMERICS.md
research/EXPERIMENT_019_STABLE_RERUN.md,research/stages/02-self-organization/sources/EXPERIMENT_019_STABLE_RERUN.md
research/EXPERIMENT_020_CAPABILITY_TISSUE_SPECIFICITY.md,research/stages/02-self-organization/sources/EXPERIMENT_020_CAPABILITY_TISSUE_SPECIFICITY.md
research/EXPERIMENT_021_CONFLICT_DRIVEN_DIFFERENTIATION.md,research/stages/02-self-organization/sources/EXPERIMENT_021_CONFLICT_DRIVEN_DIFFERENTIATION.md
research/EXPERIMENT_022_EMERGENT_TRAIT_BIFURCATION.md,research/stages/02-self-organization/sources/EXPERIMENT_022_EMERGENT_TRAIT_BIFURCATION.md
research/EXPERIMENT_023_ONLINE_NONPARAMETRIC_TRAIT_GENESIS.md,research/stages/02-self-organization/sources/EXPERIMENT_023_ONLINE_NONPARAMETRIC_TRAIT_GENESIS.md
research/EXPERIMENT_023B_PROBATIONARY_TRAIT_GENESIS.md,research/stages/02-self-organization/sources/EXPERIMENT_023B_PROBATIONARY_TRAIT_GENESIS.md
research/EXPERIMENT_024_SEQUENTIAL_PROBATIONARY_GENESIS.md,research/stages/02-self-organization/sources/EXPERIMENT_024_SEQUENTIAL_PROBATIONARY_GENESIS.md
research/EXPERIMENT_024B_INDEPENDENT_THIRD_TRAIT.md,research/stages/02-self-organization/sources/EXPERIMENT_024B_INDEPENDENT_THIRD_TRAIT.md
research/CLM-0.3-RELEASE-BENCHMARK.md,research/stages/03-routing-and-growth/sources/CLM-0.3-RELEASE-BENCHMARK.md
research/CLM-0.3b-MARGINAL-GROWTH-UTILITY.md,research/stages/03-routing-and-growth/sources/CLM-0.3b-MARGINAL-GROWTH-UTILITY.md
research/CLM-0.3c-COUNTERFACTUAL-MITOSIS.md,research/stages/03-routing-and-growth/sources/CLM-0.3c-COUNTERFACTUAL-MITOSIS.md
research/CLM-0.3d-PROBATIONARY-MITOSIS.md,research/stages/03-routing-and-growth/sources/CLM-0.3d-PROBATIONARY-MITOSIS.md
research/CLM_CONDITIONALITY_VALIDATION_002.md,research/stages/03-routing-and-growth/sources/CLM_CONDITIONALITY_VALIDATION_002.md
research/CLM_UPCYCLING_STUDY_001.md,research/stages/03-routing-and-growth/sources/CLM_UPCYCLING_STUDY_001.md
research/CLM_V2_OVERCOMPLETE_CONDITIONAL_GENOME.md,research/stages/03-routing-and-growth/sources/CLM_V2_OVERCOMPLETE_CONDITIONAL_GENOME.md
research/CLM_V2_VALIDATION_001B_CLOSED_LOOP_HANDOFF.md,research/stages/03-routing-and-growth/sources/CLM_V2_VALIDATION_001B_CLOSED_LOOP_HANDOFF.md
research/CLM_VALIDATION_001B_STABLE_PROGRAM_CONDITIONALITY.md,research/stages/03-routing-and-growth/sources/CLM_VALIDATION_001B_STABLE_PROGRAM_CONDITIONALITY.md
research/EXPERIMENT-025-STORY-MATH-GROWTH.md,research/stages/03-routing-and-growth/sources/EXPERIMENT-025-STORY-MATH-GROWTH.md
research/experiment-025-protocol.json,research/stages/03-routing-and-growth/sources/experiment-025-protocol.json
research/EXPERIMENT-026-CELL-GRANULARITY.md,research/stages/03-routing-and-growth/sources/EXPERIMENT-026-CELL-GRANULARITY.md
research/experiment-026-protocol.json,research/stages/03-routing-and-growth/sources/experiment-026-protocol.json
research/EXPERIMENT-026A-GRANULARITY-SCREENING.md,research/stages/03-routing-and-growth/sources/EXPERIMENT-026A-GRANULARITY-SCREENING.md
research/experiment-026a-protocol.json,research/stages/03-routing-and-growth/sources/experiment-026a-protocol.json
