replicate,stage,window,incumbent_prequential_nll,capacity_prequential_nll,geometry_prequential_nll,capacity_net_utility,geometry_net_utility,geometry_advantage
0,A_STORY_NULL,0,5.55053474009037,5.551399789750576,5.550721727311611,-0.0051558497875813,-0.0050336881453764,0.0001221616422049
0,A_STORY_NULL,1,5.554263457655907,5.554656594991684,5.554258801043034,-0.005070781182559,-0.0049991616146931,7.161956786584309e-05
0,A_STORY_NULL,2,5.524175703525543,5.524498730897903,5.52399405837059,-0.0050584752168824,-0.0049671181431037,9.135707377865444e-05
0,A_STORY_NULL,3,5.537319555878639,5.537470132112503,5.537023708224297,-0.0050271929825151,-0.004946572046031,8.062093648406911e-05
0,B_ARITHMETIC_BIRTH,0,6.425018802285194,6.434823609888554,6.3810743391513824,-0.0065260356280781,0.0018395851414757,0.0083656207695538
0,B_ARITHMETIC_BIRTH,1,6.320062182843685,6.310810670256615,6.236430436372757,-0.0035361674743985,0.0082327410793446,0.0117689085537431
0,B_ARITHMETIC_BIRTH,2,6.411514334380627,6.406606629490852,6.319284491240978,-0.0042345482465105,0.0093850326661646,0.0136195809126752
0,B_ARITHMETIC_BIRTH,3,6.42010672390461,6.425222642719746,6.340040817856789,-0.0057968588428736,0.0074711176139337,0.0132679764568073
0,C_DUPLICATE_ARITHMETIC,0,6.312429249286652,6.312395207583904,6.312391966581345,-0.0049946071945675,-0.0049940937626649,5.134319026279741e-07
0,C_DUPLICATE_ARITHMETIC,1,6.336081154644489,6.335941039025784,6.31625933945179,-0.0049778860757484,-0.0018715970157406,0.0031062890600077
0,C_DUPLICATE_ARITHMETIC,2,6.354609459638596,6.354537397623062,6.353088401257992,-0.0049886598828785,-0.0047606370005482,0.0002280228823303
0,C_DUPLICATE_ARITHMETIC,3,6.258384063839912,6.258478000760078,6.302402839064598,-0.0050150097723642,-0.0120335688535032,-0.007018559081139
0,D_WEAK_TRANSFORM,0,6.299607560038567,6.299655348062515,6.336531646549702,-0.0050075858731664,-0.0108613312272596,-0.0058537453540932
0,D_WEAK_TRANSFORM,1,6.278250180184841,6.277867391705513,6.312753796577454,-0.0049390294320324,-0.0104957377298393,-0.0055567082978068
0,D_WEAK_TRANSFORM,2,6.244996428489685,6.2450938150286674,6.289432846009731,-0.0050155943306129,-0.0121155232879441,-0.0070999289573312
0,D_WEAK_TRANSFORM,3,6.3399394154548645,6.339984707534313,6.398098334670067,-0.0050071439293786,-0.0141734187669725,-0.0091662748375938
0,E_TRANSFORM_BIRTH,0,6.27666599303484,6.276665918529034,6.359809964895248,-0.0049999881297163,-0.0182465184466837,-0.0132465303169674
0,E_TRANSFORM_BIRTH,1,6.370778158307076,6.3707123175263405,6.419900737702847,-0.00498966519017,-0.0127106089986383,-0.0077209438084682
0,E_TRANSFORM_BIRTH,2,6.405471175909042,6.405564166605473,6.443934336304665,-0.0050145173858216,-0.0110047355361276,-0.0059902181503059
0,E_TRANSFORM_BIRTH,3,6.467280626296997,6.467254295945168,6.481533870100975,-0.0049959286826487,-0.0072039006233967,-0.002207971940748
1,A_STORY_NULL,0,5.50424912571907,5.504890732467175,5.504810027778149,-0.0051165657174029,-0.0051019034651715,1.4662252231422736e-05
1,A_STORY_NULL,1,5.491445235908032,5.491812646389008,5.491524897515774,-0.0050669059719604,-0.0050145064922475,5.239947971296104e-05
1,A_STORY_NULL,2,5.503325507044792,5.503757901489735,5.503039285540581,-0.0050785696656301,-0.0049479911730016,0.0001305784926285
1,A_STORY_NULL,3,5.503589853644371,5.503722280263901,5.5033509358763695,-0.0050240618619939,-0.0049565887403758,6.747312161813502e-05
1,B_ARITHMETIC_BIRTH,0,6.5221342369914055,6.560160301625729,6.407051645219326,-0.010830310026226,0.0126449284222592,0.0234752384484852
1,B_ARITHMETIC_BIRTH,1,6.394915722310543,6.39758038520813,6.277535937726498,-0.0054166845996563,0.0133551730282435,0.0187718576278999
1,B_ARITHMETIC_BIRTH,2,6.379252575337887,6.378269679844379,6.207538232207298,-0.0048459230949238,0.0219176272772823,0.0267635503722061
1,B_ARITHMETIC_BIRTH,3,6.36435279250145,6.364450462162495,6.290487289428711,-0.0050153463618736,0.0066061295595944,0.011621475921468
1,C_DUPLICATE_ARITHMETIC,0,6.216517508029938,6.216627888381481,6.233643375337124,-0.0050177559785524,-0.0077548973014335,-0.0027371413228811
1,C_DUPLICATE_ARITHMETIC,1,6.232781954109669,6.232891827821732,6.215968742966652,-0.0050176283580705,-0.0023024547839459,0.0027151735741246
1,C_DUPLICATE_ARITHMETIC,2,6.082957446575165,6.082924582064152,6.059267140924931,-0.0049945972807961,-0.0011054625388556,0.0038891347419405
1,C_DUPLICATE_ARITHMETIC,3,6.246833078563213,6.24686399102211,6.23651310801506,-0.0050049485008656,-0.0033479676152117,0.0016569808856538
1,D_WEAK_TRANSFORM,0,6.1918638572096825,6.191928245127201,6.1918638572096825,-0.0050103987941278,-0.005,1.0398794127820798e-05
1,D_WEAK_TRANSFORM,1,6.425663657486439,6.425717659294605,6.425782613456249,-0.0050084040826045,-0.0050185126356048,-1.0108553000327812e-05
1,D_WEAK_TRANSFORM,2,6.329983025789261,6.32998825609684,6.329973548650742,-0.0050008262751349,-0.0049985028177041,2.323457430834785e-06
1,D_WEAK_TRANSFORM,3,6.368660733103752,6.368769653141499,6.368662945926189,-0.005017102502757,-0.0050003474549092,1.6755047847734697e-05
1,E_TRANSFORM_BIRTH,0,6.398280330002308,6.398268088698387,6.340621531009674,-0.0049980867821837,0.0040116087477856,0.0090096955299694
1,E_TRANSFORM_BIRTH,1,6.363654971122742,6.363817386329174,6.289866626262665,-0.0050255223149541,0.0065952774301744,0.0116207997451285
1,E_TRANSFORM_BIRTH,2,6.396613046526909,6.396698899567127,6.29658629745245,-0.0050134216404203,0.0106374550636245,0.0156508767040448
1,E_TRANSFORM_BIRTH,3,6.323826476931572,6.323857493698597,6.251193225383759,-0.0050049047466969,0.0064856490469448,0.0114905537936417
2,A_STORY_NULL,0,5.543376676738262,5.543880365788937,5.543521396815777,-0.005090863219306,-0.0050261068453316,6.475637397439313e-05
2,A_STORY_NULL,1,5.533563576638699,5.533926464617252,5.534170128405094,-0.005065579436023,-0.0051096132280753,-4.403379205228375e-05
2,A_STORY_NULL,2,5.544530510902405,5.544693000614643,5.544106498360634,-0.0050293063068043,-0.0049235259791722,0.000105780327632
2,A_STORY_NULL,3,5.547343119978905,5.547564759850502,5.547016724944115,-0.0050399542387776,-0.0049411619170239,9.879232175373596e-05
2,B_ARITHMETIC_BIRTH,0,6.4474058374762535,6.459912657737732,6.3537270948290825,-0.0069398220891852,0.0095296798446676,0.0164695019338528
2,B_ARITHMETIC_BIRTH,1,6.282386250793934,6.27978553622961,6.234594985842705,-0.0045860307754884,0.002607183487833,0.0071932142633214
2,B_ARITHMETIC_BIRTH,2,6.387696228921413,6.386126160621643,6.295869067311287,-0.0047542042947093,0.0093756306372809,0.0141298349319902
2,B_ARITHMETIC_BIRTH,3,6.421752139925957,6.42650879919529,6.311233721673489,-0.0057407105048105,0.0122100099543459,0.0179507204591565
2,C_DUPLICATE_ARITHMETIC,0,6.233300879597664,6.232593387365341,6.233485214412212,-0.0048864979814084,-0.0050295725841105,-0.0001430746027021
2,C_DUPLICATE_ARITHMETIC,1,6.061310239136219,6.061452858150005,6.047313898801804,-0.0050235294034061,-0.0026908721411346,0.0023326572622715
2,C_DUPLICATE_ARITHMETIC,2,6.06660695374012,6.066634654998779,6.081097207963467,-0.0050045661864812,-0.0073885269531782,-0.0023839607666969
2,C_DUPLICATE_ARITHMETIC,3,6.095315843820572,6.095358423888683,6.095483392477036,-0.0050069857033175,-0.0050274881008231,-2.0502397505602583e-05
2,D_WEAK_TRANSFORM,0,6.239106796681881,6.239208459854126,6.2391185984015465,-0.0050162945074604,-0.005001891571991,1.440293546943125e-05
2,D_WEAK_TRANSFORM,1,6.241091959178448,6.241144046187401,6.240915812551975,-0.0050083458166125,-0.0049717763129233,3.656950368916088e-05
2,D_WEAK_TRANSFORM,2,6.103829383850098,6.103835090994835,6.1037507802248,-0.0050009350105283,-0.0049871222440283,1.38127664999722e-05
2,D_WEAK_TRANSFORM,3,6.08462468534708,6.084737382829189,6.071266770362854,-0.0050185216817695,-0.0028046443823569,0.0022138772994125
2,E_TRANSFORM_BIRTH,0,6.373436369001865,6.373419396579266,6.328697890043259,-0.0049973370060329,0.0020195223374628,0.0070168593434958
2,E_TRANSFORM_BIRTH,1,6.278294056653976,6.278238065540791,6.278284758329392,-0.0049910817950416,-0.0049985189727494,-7.437177707762463e-06
2,E_TRANSFORM_BIRTH,2,6.35622038692236,6.35618032515049,6.339749813079834,-0.0049936972336654,-0.0024087472051137,0.0025849500285516
2,E_TRANSFORM_BIRTH,3,6.403120882809162,6.403110548853874,6.375379577279091,-0.0049983861064819,-0.0006675336858702,0.0043308524206116
